Category: All categories

Region,#MeToo: (2018)
District of Columbia,100
Wyoming,69
Maine,49
Massachusetts,45
Connecticut,44
New York,40
New Hampshire,40
Kansas,39
Colorado,39
Montana,38
Virginia,36
Arizona,35
South Dakota,34
Oregon,34
Rhode Island,34
California,34
Wisconsin,34
Vermont,32
Michigan,32
Utah,32
Minnesota,31
Delaware,30
Idaho,30
Nebraska,29
Illinois,29
Kentucky,29
Hawaii,28
Washington,28
New Jersey,28
North Carolina,27
Texas,27
Arkansas,26
Florida,26
Missouri,26
Pennsylvania,25
Georgia,24
Maryland,23
Tennessee,23
Ohio,22
Indiana,21
Oklahoma,21
West Virginia,21
Louisiana,21
Nevada,20
South Carolina,20
Alabama,18
Iowa,17
Mississippi,14
New Mexico,9
Alaska,7
North Dakota,6
